"","time","country","reported_cases","reported_cases_cumulative","predicted_infections_mean_cumulative","predicted_infections_lower_CI_95_cumulative","predicted_infections_higher_CI_95_cumulative","predicted_infections_mean","predicted_infections_lower_CI_95","predicted_infections_higher_CI_95_cumulative","reported_deaths","reported_deaths_cumulative","estimated_deaths_mean_cumulative","estimated_deaths_lower_CI_95_cumulative","estimated_deaths_higher_CI_95_cumulative","estimated_deaths_mean","estimated_deaths_lower_CI_95","estimated_deaths_higher_CI_95","mean_time_varying_reproduction_number_R(t)","time_varying_reproduction_number_R(t)_lower_CI_95","time_varying_reproduction_number_R(t)_higher_CI_95"
"562",2020-03-30,"Norway",257,4102,20359.5382093206,12955.1253282106,30217.156002089,460.876042430526,294.202927206245,657.592429630081,2,22,24.5708910962608,14.5817594368076,38.9489940265463,3.72234319127073,2.69229818320007,5.0253078938681,0.44447770597927,0.289631220242893,0.605896193189884
"563",2020-03-31,"Norway",124,4226,20779.5901601902,13214.8643628541,30827.2209530984,420.051950869564,259.739034643467,610.064951009463,4,26,28.7855714890966,17.6946350169601,44.5285390230474,4.21468039283576,3.11287558015253,5.57954499650112,0.444438878603394,0.289610019494153,0.605834409621357
"564",2020-04-01,"Norway",221,4447,21161.0333807733,13442.7071504271,31389.125208035,381.443220583123,227.842787573036,561.904254936613,2,28,33.4977295206416,21.2277697438606,50.6778735879438,4.71215803154504,3.53313472690047,6.14933456489646,0.444403387075569,0.289591336447541,0.60577638309272
"565",2020-04-02,"Norway",218,4665,21506.8359397236,13642.1589241487,31909.5296405596,345.802558950307,199.451773721594,520.404432524571,4,32,38.6917874469943,25.1662038735265,57.3744241134148,5.1940579263527,3.93843412966589,6.69655052547097,0.444371057031694,0.289575006221145,0.605722011646543
"566",2020-04-03,"Norway",270,4935,21820.1467223348,13816.5922627245,32392.7955745073,313.31078261118,174.433338575797,483.265933947731,10,42,44.3425792710175,29.4970170451118,64.605962791214,5.65079182402321,4.33081317158529,7.23153867779922,0.444341652552756,0.289560802127603,0.605671113334712
"567",2020-04-04,"Norway",273,5208,22104.0169537177,13967.9926230555,32841.7404618962,283.870231382949,151.400360330938,448.944887388898,2,44,50.4043711134633,34.1695133856303,72.3148026427446,6.06179184244574,4.67249634051853,7.70883985153054,0.444314922519478,0.289548482068662,0.605623480609358
"568",2020-04-05,"Norway",302,5510,22361.2820713678,14100.0255072047,33259.2146871363,257.265117650014,132.032884149277,417.474225240075,6,50,56.8339896859875,39.1479346557626,80.4377349780227,6.42961857252426,4.97842127013227,8.12293233527815,0.444290623081989,0.289537812578626,0.605578905324961
"569",2020-04-06,"Norway",130,5640,22594.5251003696,14214.0822090681,33647.2960589951,233.24302900188,114.056701863338,388.081371858793,8,58,63.5720102879908,44.389161675581,88.9225907575148,6.73802060200327,5.24122701981838,8.48485577949205,0.444268527157102,0.289528579749652,0.605537188806551
"570",2020-04-07,"Norway",115,5755,22806.0780834431,14313.0367152999,34009.2495063405,211.552983073517,98.9545062318335,361.953447345419,1,59,70.5461267212132,49.8288122223876,97.6702603025331,6.97411643322242,5.43965054680665,8.74766954501837,0.444248427378227,0.289520592950647,0.605498144966721
"571",2020-04-08,"Norway",108,5863,22998.039142951,14398.5867980135,34346.7112297396,191.961059507812,85.5500827135586,337.461723399075,10,69,77.694934796206,55.4344686122165,106.618811875008,7.14880807499273,5.60565638982888,8.94855157247485,0.444230136013278,0.289513684870344,0.605461600521873
"572",2020-04-09,"Norway",147,6010,23172.2943849162,14473.0679854722,34661.8858127687,174.255241965226,74.4811874587703,315.174583029143,11,80,84.954773103031,61.1359305567242,115.683684343699,7.25983830682507,5.70146194450773,9.0648724686907,0.444213483649747,0.289507709874628,0.605427394194866
"573",2020-04-10,"Norway",150,6160,23330.5398995649,14537.6641803539,34954.8354629297,158.245514648701,64.5961948816756,292.949650160986,8,88,92.2572387899052,66.9058436669024,124.785023750946,7.30246568687422,5.76991311017814,9.10133940724686,0.444198317503943,0.289502541737824,0.605395375696134
"574",2020-04-11,"Norway",84,6244,23474.3020570553,14593.3318800147,35227.2268630469,143.762157490439,55.6676996608013,272.391400117172,4,92,99.5436588255757,72.6713191874257,133.83985437843,7.28642003567047,5.76547552052327,9.05483062748439,0.444184499726242,0.289498071275743,0.6053654047659
"575",2020-04-12,"Norway",76,6320,23604.9556239653,14641.5256415983,35482.5912004603,130.65356690996,48.1937615835518,255.36433741345,6,98,106.763781503172,78.4009453486241,142.780407117177,7.22012267759591,5.72962616119841,8.94055273874753,0.444171905840494,0.289494204119121,0.605337350346358
"576",2020-04-13,"Norway",95,6415,23723.7397603723,14683.2772802271,35720.4441629564,118.784136407038,41.7516386288228,237.852962496043,5,103,113.86389199705,84.0537445387877,151.547125612789,7.10011049387849,5.65279919016364,8.76671849561114,0.444160423352052,0.289490858717018,0.60531108987625
"577",2020-04-14,"Norway",73,6488,23831.7721303566,14719.5135230617,35941.8774848906,108.032369984245,36.2362428346417,221.433321934225,11,114,120.79817259719,89.5821499747442,160.089963258195,6.93428060013993,5.52840543595647,8.5428376454066,0.444149950518046,0.289487964587876,0.60528650868129
"578",2020-04-15,"Norway",78,6566,23930.0613827796,14750.9595103286,36147.860629614,98.2892524230104,31.445987266883,205.98314472344,13,127,127.535529265807,94.964260602083,168.383271025002,6.73735666861683,5.38211062733887,8.29330776680729,0.444140395260989,0.289485460804421,0.605263499435543
"579",2020-04-16,"Norway",111,6677,24019.5182316489,14778.1801372798,36339.3973489526,89.4568488692798,27.2206269511906,191.536719338504,3,130,134.040618105699,100.183537096086,176.365370684001,6.50508883989251,5.21927649400256,7.98209965899862,0.444131674205558,0.289483294687295,0.605241961675462
"580",2020-04-17,"Norway",114,6791,24100.9653269379,14801.839639675,36518.6551373565,81.447095288999,23.6595023952202,179.257788403966,6,136,140.287607471806,105.200269070536,184.021280839738,6.24698936610644,5.01673197445021,7.65591015573703,0.444123711820952,0.289481420680202,0.605221801354613
